suite,condition,successes,trials,sr,n_tasks
libero_10,none,15,15,1.0,3
libero_10,primary_black,7,15,0.4666666666666667,3
libero_10,primary_gray,7,15,0.4666666666666667,3
libero_10,primary_noise,11,15,0.7333333333333333,3
libero_10,wrist_black,3,15,0.2,3
libero_10,wrist_gray,0,15,0.0,3
libero_10,wrist_noise,0,15,0.0,3
libero_goal,none,15,15,1.0,3
libero_goal,primary_black,8,15,0.5333333333333333,3
libero_goal,primary_gray,10,15,0.6666666666666666,3
libero_goal,primary_noise,7,15,0.4666666666666667,3
libero_goal,wrist_black,0,15,0.0,3
libero_goal,wrist_gray,1,15,0.06666666666666667,3
libero_goal,wrist_noise,2,15,0.13333333333333333,3
libero_object,none,15,15,1.0,3
libero_object,primary_black,15,15,1.0,3
libero_object,primary_gray,15,15,1.0,3
libero_object,primary_noise,15,15,1.0,3
libero_object,wrist_black,2,15,0.13333333333333333,3
libero_object,wrist_gray,2,15,0.13333333333333333,3
libero_object,wrist_noise,3,15,0.2,3
libero_spatial,none,15,15,1.0,3
libero_spatial,primary_black,15,15,1.0,3
libero_spatial,primary_gray,15,15,1.0,3
libero_spatial,primary_noise,15,15,1.0,3
libero_spatial,wrist_black,6,15,0.4,3
libero_spatial,wrist_gray,7,15,0.4666666666666667,3
libero_spatial,wrist_noise,11,15,0.7333333333333333,3
